,ticker,Open,High,Low,Close,Adj Close,Volume,date,publish_time,title,publisher,label,compound,Close_Pct_Change,MA_5,MA_10
0,AAPL,189.88999938964844,191.91000366210938,189.8800048828125,191.4499969482422,191.4499969482422,46505100,2023-11-20,10:30PM,How to share AirTag in iOS 17,(AppleInsider),1,0.296,0.0,191.4499969482422,191.4499969482422
1,AAPL,189.88999938964844,191.91000366210938,189.8800048828125,191.4499969482422,191.4499969482422,46505100,2023-11-20,09:30PM,Apple eyes increased iPhone production amid Improving labor conditions,(DigiTimes),1,0.5994,0.0,191.4499969482422,191.4499969482422
2,AAPL,189.88999938964844,191.91000366210938,189.8800048828125,191.4499969482422,191.4499969482422,46505100,2023-11-20,09:01PM,"iPhone 16 Pro to get 120 mm camera says Kuo, again",(AppleInsider),1,0.0,0.0,191.4499969482422,191.4499969482422
3,AAPL,189.88999938964844,191.91000366210938,189.8800048828125,191.4499969482422,191.4499969482422,46505100,2023-11-20,08:01PM,CEO of Fortnite game maker casts Google as a 'crooked' bully in testimony during Android app trial,(Associated Press Finance),1,-0.4939,0.0,191.4499969482422,191.4499969482422
4,AAPL,189.88999938964844,191.91000366210938,189.8800048828125,191.4499969482422,191.4499969482422,46505100,2023-11-20,06:34PM,Epic Games Sweeney Takes Aim at Androids Fake Open Platform,(Bloomberg),1,-0.4767,0.0,191.4499969482422,191.4499969482422
5,AAPL,189.88999938964844,191.91000366210938,189.8800048828125,191.4499969482422,191.4499969482422,46505100,2023-11-20,05:42PM,"The OpenAI Saga, AI Shortcomings and Apple's Opportunity",(Above Avalon),1,0.4215,0.0,191.4499969482422,191.4499969482422
6,AAPL,189.88999938964844,191.91000366210938,189.8800048828125,191.4499969482422,191.4499969482422,46505100,2023-11-20,05:12PM,CEO Linda Yaccarino commits to staying at X even after advertisers flee,(Yahoo Finance),1,0.0258,0.0,191.4499969482422,191.4499969482422
7,AAPL,189.88999938964844,191.91000366210938,189.8800048828125,191.4499969482422,191.4499969482422,46505100,2023-11-20,04:59PM,Crypto zealots lead frivolous lawsuit against 'Apple led cartel',(AppleInsider),1,-0.4019,0.0,191.4499969482422,191.4499969482422
8,AAPL,189.88999938964844,191.91000366210938,189.8800048828125,191.4499969482422,191.4499969482422,46505100,2023-11-20,04:47PM,AI Mania Powered Stocks This Year. Can Nvidia Spark More Gains?,(The Wall Street Journal),1,0.5563,0.0,191.4499969482422,191.4499969482422
9,AAPL,189.88999938964844,191.91000366210938,189.8800048828125,191.4499969482422,191.4499969482422,46505100,2023-11-20,03:55PM,Musk Strategy to Contain X Anti-Semitism Fallout Is to Go Thermonuclear,(Barrons.com),1,0.0,0.0,191.4499969482422,191.4499969482422
10,AAPL,189.88999938964844,191.91000366210938,189.8800048828125,191.4499969482422,191.4499969482422,46505100,2023-11-20,03:10PM,"Apple-Google relations were great, 2018 meeting notes reveal",(AppleInsider),1,0.6249,0.0,191.4499969482422,191.4499969482422
11,AAPL,189.88999938964844,191.91000366210938,189.8800048828125,191.4499969482422,191.4499969482422,46505100,2023-11-20,01:26PM,10 Best Selling Smartphones in the World in 2023,(Insider Monkey),1,0.6369,0.0,191.4499969482422,191.4499969482422
12,AAPL,189.88999938964844,191.91000366210938,189.8800048828125,191.4499969482422,191.4499969482422,46505100,2023-11-20,11:22AM,Apple relies heavily on AI/ML in iOS,(AppleInsider),1,0.0,0.0,191.4499969482422,191.4499969482422
13,AAPL,189.88999938964844,191.91000366210938,189.8800048828125,191.4499969482422,191.4499969482422,46505100,2023-11-20,10:52AM,Apple will make a big change to iPhone messages next year,(CNN Business),1,0.0,0.0,191.4499969482422,191.4499969482422
14,AAPL,189.88999938964844,191.91000366210938,189.8800048828125,191.4499969482422,191.4499969482422,46505100,2023-11-20,10:50AM,"Can Apple Vision Pro reinvent the computer, again?",(AppleInsider),1,0.25,0.0,191.4499969482422,191.4499969482422
15,AAPL,189.88999938964844,191.91000366210938,189.8800048828125,191.4499969482422,191.4499969482422,46505100,2023-11-20,09:22AM,2 'Magnificent Seven' Stocks Set to Join Apple and Microsoft in the $2 Trillion Club by 2030,(Motley Fool),1,0.7269,0.0,191.4499969482422,191.4499969482422
16,AAPL,189.88999938964844,191.91000366210938,189.8800048828125,191.4499969482422,191.4499969482422,46505100,2023-11-20,08:30AM,Apple Had Better Watch Its Back in China,(The Wall Street Journal),1,0.4404,0.0,191.4499969482422,191.4499969482422
17,AAPL,189.88999938964844,191.91000366210938,189.8800048828125,191.4499969482422,191.4499969482422,46505100,2023-11-20,08:10AM,"The Witcher, Witcher 2 gain Apple Silicon support",(AppleInsider),1,0.7269,0.0,191.4499969482422,191.4499969482422
18,AAPL,189.88999938964844,191.91000366210938,189.8800048828125,191.4499969482422,191.4499969482422,46505100,2023-11-20,06:02AM,Beyond Market Price: Uncovering Apple Inc's Intrinsic Value,(GuruFocus.com),1,0.34,0.0,191.4499969482422,191.4499969482422
19,AAPL,189.88999938964844,191.91000366210938,189.8800048828125,191.4499969482422,191.4499969482422,46505100,2023-11-20,02:05AM,Canalys: US smartphone market recovered sequentially in 3Q23,(DigiTimes),0,0.0,0.0,191.4499969482422,191.4499969482422
20,AAPL,191.41000366210938,191.52000427246094,189.74000549316406,190.63999938964844,190.63999938964844,38134500,2023-11-21,09:50PM,"Apple (NASDAQ:AAPL): Boring, But Commands Massive Pricing Power",(TipRanks),1,-0.1655,-0.4230856994020926,191.28799743652343,191.3689971923828
21,AAPL,191.41000366210938,191.52000427246094,189.74000549316406,190.63999938964844,190.63999938964844,38134500,2023-11-21,05:32PM,Starbucks Labor Group Plans Board Fight,(The Wall Street Journal),1,-0.3818,0.0,191.1259979248047,191.28799743652343
22,AAPL,191.41000366210938,191.52000427246094,189.74000549316406,190.63999938964844,190.63999938964844,38134500,2023-11-21,05:32PM,Labor Group Plans Board Fight at Starbucks,(The Wall Street Journal),1,-0.3818,0.0,190.96399841308593,191.20699768066407
23,AAPL,191.41000366210938,191.52000427246094,189.74000549316406,190.63999938964844,190.63999938964844,38134500,2023-11-21,05:18PM,"Sonos Readies $400-Plus Headphones to Rival Apple and Bose, TV Set-Top Box",(Bloomberg),1,0.0,0.0,190.8019989013672,191.1259979248047
24,AAPL,191.41000366210938,191.52000427246094,189.74000549316406,190.63999938964844,190.63999938964844,38134500,2023-11-21,04:22PM,Apple CEO Tim Cook tells Dua Lipa how long he'll remain in the role,(Fox Business),1,0.0,0.0,190.63999938964844,191.0449981689453
